Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old
avat,soŋe,U,,,,ɒvɒt,soŋe,ɒvɒt∅,0ɒvɒt∅,soŋe
agg,soŋkɜ ,FU,,(soŋɜ),,ɒɡɡ,soŋkɜ,ɒɡɡ∅,0ɒɡɡ∅,soŋkɜ
arasz,sorɜ,FU,,,", sorɜ-śɜ",ɒrɒs,sorɜ,ɒrɒs∅,0ɒrɒs∅,sorɜ
ujj,suδ'ɜ,U,,,,ujj,suðʲɜ,ujj∅,0ujj∅,suðʲɜ
olvad,sula,FU,,,,olvɒd,sula,olvɒd∅,0olvɒd∅,sula
ő,s¨,FU,,,,ø,s¨,ø,0ø,s¨
szaka,śakkɜ ,Ug,éjszaka,(śukkɜ),,ejsɒkɒ,ʃʲakkɜ,ejsɒkɒ,0ejsɒkɒ,ʃʲakkɜ
szil,śala,FU,,,,sil,ʃʲala,sil∅,sil∅,ʃʲala
szilánk,śale,FU,,,,silank,ʃʲale,silank∅,silank∅,ʃʲale
szál,śalkɜ,FU,,,,sal,ʃʲalkɜ,sal∅,sal∅,ʃʲalkɜ
