"word","time"
"temet","from_1151_1200"
"terem1","from_1151_1200"
"test","from_1151_1200"
"ti","from_1151_1200"
"tilt","from_1151_1200"
"-tok/-tek/-tök1","from_1151_1200"
"-tok/-tek/-tök2","from_1151_1200"
"-tok/-tek/-tök3","from_1151_1200"
"-tól/-tol","from_1151_1200"
"tömlöc","from_1151_1200"
"-uk/-ük1","from_1151_1200"
"-uk/-ük2 ~ -juk/jük","from_1151_1200"
"-ul/-ül1","from_1151_1200"
"-unk/-ünk1","from_1151_1200"
"-unk/-ünk2","from_1151_1200"
"-va/-ve","from_1151_1200"
"-val/-vel","from_1151_1200"
"verem","from_1151_1200"
"vezet","from_1151_1200"
"világ","from_1151_1200"
"víz","from_1151_1200"
"- z(ik)","from_1151_1200"
"lát","from_1151_1200"
"pata","from_1151_1200"
"dió","from_1151_1200"
"jó2","from_1151_1200"
"bolond","from_1151_1200"
"ho","from_1151_1200"
"mész","from_1151_1200"
"sátor","from_1151_1200"
"teto","from_1151_1200"
"ostor","from_1151_1200"
"bolha","from_1151_1200"
"teker","from_1151_1200"
"kóró","from_1151_1200"
"poroszló","from_1151_1200"
"gaz","from_1151_1200"
"kazár","from_1151_1200"
"áldomás","from_1151_1200"
"oláh","from_1151_1200"
"fizet","from_1201_1250"
"-nál/-nél","from_1201_1250"
"áll1","from_1201_1250"
"ámen","from_1201_1250"
"barom","from_1201_1250"
"-dalom/-delem","from_1201_1250"
"ég2","from_1201_1250"
"el","from_1201_1250"
"fel","from_1201_1250"
"fogad","from_1201_1250"
"fogva","from_1201_1250"
"füröszt","from_1201_1250"
"gyermek","from_1201_1250"
"ha","from_1201_1250"
"hanem","from_1201_1250"
"hol","from_1201_1250"
"hozzá","from_1201_1250"
"ihol","from_1201_1250"
"illet","from_1201_1250"
"ismer","from_1201_1250"
"jelenik","from_1201_1250"
"kar1","from_1201_1250"
"-képp(en)","from_1201_1250"
"kezd","from_1201_1250"
"kíván","from_1201_1250"
"korona","from_1201_1250"
"méh2","from_1201_1250"
"mert","from_1201_1250"
"mint","from_1201_1250"
"oltár","from_1201_1250"
"öl2","from_1201_1250"
"össze","from_1201_1250"
"posztó","from_1201_1250"
"rajta","from_1201_1250"
"-ról/-rol","from_1201_1250"
"róla","from_1201_1250"
"sír1","from_1201_1250"
"származik","from_1201_1250"
"szentlélek","from_1201_1250"
"szeplo","from_1201_1250"
"szuz","from_1201_1250"
"támad","from_1201_1250"
"-tat/-tet","from_1201_1250"
"te","from_1201_1250"
"tehát","from_1201_1250"
"tekint","from_1201_1250"
"teljes","from_1201_1250"
"tiszt","from_1201_1250"
"tiszta","from_1201_1250"
"titok","from_1201_1250"
"tole","from_1201_1250"
"tör","from_1201_1250"
