New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2,Old,New
kísér,kećɜ,Ug,,,,ket͡ʃʲɜ,kiːʃeːr
ki,ki,Ug,,"(ki-mɜ), kü (kü-mɜ)",", kü (kü-mɜ)",ki,ki
hattyú,kottɜŋɜ,Ug,,,,kottɜŋɜ,hɒtcuː
hoz,kućɜ,Ug,,,,kut͡ʃʲɜ,hoz
hagyap,kuδ̕ɜ,Ug,† ,(kuĺɜ-),,kuðʲɜ,hɒɟɒp
hód,kumtɜ,Ug,,(kuntɜ),,kumtɜ,hoːd
húz,kupɜtɜ,Ug,,,,kupɜtɜ,huːz
hagy,kȣńćɜ,Ug,: hagymáz,,,kȣnʲt͡ʃʲɜ,hɒɟ
kesered,kȣ̈ćɜ,Ug,,(kȣ̈ćɜ-rɜ),,k¨t͡ʃʲɜ,kɛʃɛrɛd
köles,kȣ̈lɜ,Ug,,"(kȣ̈lɜ-ćɜ), kȣ̈lɜćɜ",", kȣ̈lɜćɜ",k¨lɜ,kølɛʃ
kedv,kȣ̈ntɜ,Ug,,,,k¨ntɜ,kɛdv
könnyű,kȣ̈nɜ,Ug,,,,k¨nɜ,kønɲyː
köszörül,kȣ̈sɜ,Ug,,,,k¨sɜ,køsøryl
les,läćɜ,Ug,,,,læt͡ʃʲɜ,lɛʃ
ló,luwɜ,Ug,,(luγǝ),,luwɜ,loː
malát,malkɜ,Ug,,,,mɑlkɜ,mɒlaːt
magyar,mańćɜ,Ug,,,,mɑnʲt͡ʃʲɜ,mɒɟɒr
mese,mańćɜ,Ug,,,", maćɜ",mɑnʲt͡ʃʲɜ,mɛʃɛ
márt,marɜ,Ug,,,,mɑrɜ,maːrt
meleg,mälɜ,Ug,,,,mælɜ,mɛlɛɡ
mer,märɜ,Ug,,,,mærɜ,mɛr
mer,märɜ,Ug,,,,mærɜ,mɛr
meztelen,mećɜ,Ug,,,", meśɜ-",met͡ʃʲɜ,mɛztɛlɛn
mély,melɜ,Ug,,,,melɜ,meːj
mënyül,menɜ,Ug,: kimënyül,,,menɜ,meɲyl
mered,merɜ,Ug,,(märɜ-),,merɜ,mɛrɛd
marok,mȣrɜ,Ug,,,,mȣrɜ,mɒrok
nevet,mȣ̈kɜ,Ug,,(mȣ̈γɜ-),,m¨kɜ,nɛvɛt
méltó,mȣ̈lɜ,Ug,,,,m¨lɜ,meːltoː
nyék,näkɜ,Ug,Kápolnásnyék,(nekɜ-),,nækɜ,ɲeːk
